project,region,sector_code,investment_usd,db_used,tier,supplying_sector,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,cumul_GHG_tCO2e,cumul_Employment_FTE,cumul_Water_1000m3,cumul_ValueAdded_M$
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,7,Health_Social,0.00902,1.79,0.26,0.0126,0.00631,16830.38,778.24,121.154,25.475
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,7,Manufacturing,0.02454,12.87,0.3,0.056,0.01031,16830.38,778.24,121.154,25.475
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,7,Mining_Extraction,0.02058,9.09,0.22,0.0563,0.01152,16830.38,778.24,121.154,25.475
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,7,Transport_Logistics,0.01125,2.6,0.17,0.0096,0.00675,16830.38,778.24,121.154,25.475
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,7,Water_Waste,0.00616,1.0,0.12,0.0764,0.00425,16830.38,778.24,121.154,25.475
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,8,Agriculture,0.00219,0.37,0.08,0.0181,0.00166,16846.49,778.92,121.285,25.5
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,8,Construction,0.00375,1.16,0.08,0.0047,0.0018,16846.49,778.92,121.285,25.5
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,8,Energy_Utilities,0.00629,2.27,0.05,0.0125,0.00403,16846.49,778.92,121.285,25.5
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,8,Health_Social,0.00406,0.81,0.12,0.0057,0.00284,16846.49,778.92,121.285,25.5
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,8,Manufacturing,0.01105,5.79,0.13,0.0252,0.00464,16846.49,778.92,121.285,25.5
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,8,Mining_Extraction,0.00926,4.09,0.1,0.0253,0.00519,16846.49,778.92,121.285,25.5
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,8,Transport_Logistics,0.00507,1.17,0.07,0.0043,0.00304,16846.49,778.92,121.285,25.5
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,8,Water_Waste,0.00278,0.45,0.05,0.0344,0.00192,16846.49,778.92,121.285,25.5
hospitals_P3,Europe,Health_General,75000000.0,benchmark,0,Agriculture,1.5,191.25,25.5,5.25,1.14,13172.25,629.4,104.073,41.385
